"polugodiste","ucenika sa izostancima","ucenika bez izostanaka","ucenika sa opravdanim","broj opravdanih","ucenika sa neopravdanim","broj neopravdanih","ucenika sa neregulisanim","broj neregulisanih","ukupno izostanaka","broj izostanaka po uceniku","godina","odeljenje","pandemija"
1,"34","0","34","2145","28","100","0","0","2245","66.03","IV","7",FALSE
2,"34","0","34","1582","14","17","0","0","1599","47.03","IV","7",FALSE
0,"34","0","34","3727","31","117","0","0","3844","113.06","IV","7",FALSE
1,"30","1","30","1690","18","54","0","0","1744","56.26","IV","8",FALSE
2,"31","0","31","1245","5","7","0","0","1252","40.39","IV","8",FALSE
0,"31","0","31","2935","21","61","0","0","2996","96.65","IV","8",FALSE
1,"19","1","19","1085","16","48","0","0","1133","56.65","IV","si",FALSE
2,"20","0","20","663","4","5","0","0","668","33.4","IV","si",FALSE
0,"20","0","20","1748","16","53","0","0","1801","90.05","IV","si",FALSE
1,"21","0","21","1444","3","3","0","0","1447","68.9","IV","sm",FALSE
2,"21","0","21","792","2","2","0","0","794","37.81","IV","sm",FALSE
0,"21","0","21","2236","4","5","0","0","2241","106.71","IV","sm",FALSE
1,"20","3","20","568","2","4","0","0","572","24.87","VII","sm",FALSE
2,"22","1","22","453","1","1","0","0","454","19.74","VII","sm",FALSE
0,"23","0","23","1021","3","5","0","0","1026","44.61","VII","sm",FALSE
1,"23","2","23","882","7","10","0","0","892","35.68","VIII","sm",FALSE
2,"25","0","25","415","0","0","0","0","415","16.6","VIII","sm",FALSE
0,"25","0","25","1297","7","10","0","0","1307","52.28","VIII","sm",FALSE
